Category,Developer Responsibility,Applicable/Not Applicable,Status,Implementation Details
"Authentication","Passwords must be at least 12 characters in length.","Applicable","Implemented","Implemented on code level: validates length >= 12, complexity (lowercase/uppercase/numbers/symbols), max length <= 128, and password change requires current password validation before update."
"Authentication","Passwords of at least 64 characters must be permitted, and passwords exceeding 128 characters must be denied.","Applicable","Implemented","Implemented on code level: validates length >= 12, complexity (lowercase/uppercase/numbers/symbols), max length <= 128, and password change requires current password validation before update."
"Authentication","Password complexity must be enforced, requiring a combination of lowercase letters, uppercase letters, numbers, and special characters (e.g., Abcde@#12345).","Applicable","Implemented","Implemented on code level: validates length >= 12, complexity (lowercase/uppercase/numbers/symbols), max length <= 128, and password change requires current password validation before update."
"Authentication","Password change functionality must require the user's current password along with the new password.","Applicable","Implemented","Implemented on code level: validates length >= 12, complexity (lowercase/uppercase/numbers/symbols), max length <= 128, and password change requires current password validation before update."
"Authentication","Passwords submitted during account registration, login, and password change must be checked against a list of weak or commonly used passwords.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Authentication","A password strength meter must be provided to guide users during password creation.","Applicable","Implemented","Implemented visual client-side password strength progress indicator with live score feedback in AuthModal.jsx."
"Authentication","Old passwords must not be reused. (Last 5 passwords)","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Authentication","Account lockout must be enforced after no more than 5 failed login attempts to prevent unauthorized access.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Authentication","Users must be able to toggle visibility of the masked password on the login or signup form.","Applicable","Implemented","Implemented checkbox visibility toggle in AuthModal.jsx using showPassword state."
"Authentication","Secure notifications must be sent to users after any update to their authentication details (e.g., password change, new device login, email change, account lockout, account deletion).","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Authentication","The password reset page must not include social media buttons. Reset tokens must not be leaked via referrer headers or API responses, and must be strong and unguessable.","Applicable","Implemented","Implemented password reset recovery email trigger flow in AuthModal.jsx and secure update modal in App.jsx / ResetPasswordModal.jsx."
"Authentication","MFA must be required to log in even after a password reset, for users who have MFA enabled.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","The user must be logged out and redirected to the login page immediately after a password change or reset.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Authentication","Password reset links must expire within a maximum of 1 hour.","Applicable","Implemented","Implemented password reset recovery email trigger flow in AuthModal.jsx and secure update modal in App.jsx / ResetPasswordModal.jsx."
"Authentication","Time-based OTPs must be used for two-factor authentication.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","The application must prompt users to change their password after 90 days.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Authentication","OTP validation must be performed strictly on the server side. Client-side response values must never be trusted to determine OTP success or failure.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","The MFA/TOTP secret key must not be exposed in API responses before the user successfully completes MFA verification.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","Biometric authentication must be implemented so it cannot be bypassed via a fallback PIN or password without re-authentication at the application level.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","Email verification must be enforced before granting a newly registered user full access to the application.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Authentication","Account activation must not be achievable through the password reset flow.","Applicable","Implemented","Implemented password reset recovery email trigger flow in AuthModal.jsx and secure update modal in App.jsx / ResetPasswordModal.jsx."
"Authentication","MPIN and PIN reuse must be prevented across recent entries, consistent with password history enforcement.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","All authentication decisions (OTP match, MFA success, login result) must be determined server-side only. Client-supplied status or role fields in responses must never be trusted.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","OTPs must be invalidated immediately after successful use and must not be accepted a second time.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","OTP submission attempts must be limited to a maximum of 5 before triggering a lockout or requiring a new OTP.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Authentication","Login, registration, and password reset endpoints must return identical responses regardless of whether an account exists, to prevent username and account enumeration.","Applicable","Implemented","Implemented password reset recovery email trigger flow in AuthModal.jsx and secure update modal in App.jsx / ResetPasswordModal.jsx."
"Authentication","OAuth 2.0 authorization code flows must use PKCE (code_challenge and code_verifier) for all client types, including SPAs and mobile clients. Flows without PKCE must not be accepted.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Authentication","The OAuth state parameter must be generated with sufficient entropy, stored in the session, and validated on callback to prevent CSRF on OAuth flows.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
